GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ShardOwner,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Bucket,466,0,34,0,93,0,52,0,35,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Organizations,144,0,14,0,34,0,19,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PatchDashboardRequest,158,0,14,0,36,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RangeThreshold,204,0,18,0,41,0,24,0,15,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LinePlusSingleStatProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScraperTargetRequest,255,0,20,0,55,0,31,0,21,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Dialect,198,58,19,1,39,20,22,9,12,9
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ReturnStatement,145,0,14,0,31,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BucketRetentionRules.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationEndpointType,72,0,4,0,14,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,UserLinks,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TaskLinks,203,0,20,0,32,0,21,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,IndexExpression.IndexExpressionIndexAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RemoteConnectionUpdateRequest,261,0,20,0,58,0,33,0,23,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScraperTargetRequest.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TableViewProperties,444,0,30,0,91,0,49,0,34,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationEndpointBase.StatusEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DeletePredicateRequest,155,0,14,0,35,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScatterViewProperties.ShapeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegramNotificationRuleBase.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HistogramViewProperties.PositionEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffLabelMappings,325,0,24,0,70,0,41,0,29,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SingleStatViewProperties,500,0,34,0,102,0,56,0,39,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ExpressionStatement.ExpressionStatementExpressionAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafPlugin,210,0,18,0,47,0,27,0,18,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HistogramViewProperties.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RoutesQuery,189,0,16,0,42,0,25,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Source.LanguagesEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Field.TypeEnum,86,0,4,0,16,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LabelMapping,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryLabel,317,0,24,0,70,0,39,0,27,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Dialect.AnnotationsEnum,30,35,4,0,5,8,4,3,2,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DeadmanCheck,397,0,30,0,82,0,46,0,31,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ThresholdBase,114,10,12,0,25,4,15,2,9,2
